University,Research,Education,Partnership,Collaboration,Cross-Discipline,Exec-Ed,Practicum,Fellows,Speaker Series,BA Consulting,Case Studies,Competitions,Grants,Conferences,Dataset Hosting
GATech,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Penn Wharton,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1
UCSD Rady,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0
Drexel,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0
USC Berkeley Haas,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
Columbia,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NYU Stern,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0
USC South Carolina,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
UC Irvine,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
UF,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1
